-,Date,Time,Location,Latitude,Longitude,Operator,Flight #,Route,AC Type,Registration,cn / ln,Aboard,Fatalities,Ground,Summary
ACCIDENT DETAILS,"April 03, 1933",?,"Hemkenrode, Germany",52.2280802,10.706471,Deutsche Lufthansa,?,?,Junkers F-13,D-534,?,2 (passengers:1 crew:1),1 (passengers:1 crew:0),0,Crashed under unknown circumstances.
ACCIDENT DETAILS,"April 04, 1933",1230,"Off Barnegat, New Jersey",39.7680306,-74.2135695,Military - U.S. Navy,?,?,Goodyear-Zeppelin U.S.S. Akron (airship),ZRS-4,?,76 (passengers:? crew:?),73 (passengers:? crew:?),0,"While cruising at 1,600 feet off New Jersey, strong air currents droped the ship to 700 feet before leveling off. Before it could regain a safe height, it plummeted into the Atlantic Ocean. Decision by the commander to fly into a storm despite the presence of lightning."
ACCIDENT DETAILS,"April 23, 1933",740,"Near Castrovillari, Calabria, Italy",39.8152678,16.1997438,Air Orient,?,Corfu - Naples,Cams 53-1,F-ALCE,29,8 (passengers:5 crew:3),5 (passengers:2 crew:3),0,Crashed into a mountain after encountering a mountain wave..
ACCIDENT DETAILS,"April 29, 1933",?,"Traunstein, Germany",47.8677574,12.6384037,Eurasia,?,?,Junkers W-34,D-4,2737,4 (passengers:2 crew:2),4 (passengers:2 crew:2),0,Crashed on a test flight before delivery to Eurasia in China.
ACCIDENT DETAILS,"May 09, 1933",1500,"Near Viladrau, Spain",41.8477765,2.3904096,Aeropostale - La Tecoere Company,?,Paris - Morroco,Latecoere 28-1,F-AJIX,1701,6 (passengers:3 crew:3),6 (passengers:3 crew:3),0,Crashed after being forced down to the ground by strong downdrafts.
ACCIDENT DETAILS,"June 04, 1933",315,"Bowling Green, Virginia",38.0495789,-77.3466468,Eastern Air Transport,?,?,Pitcairns PA-6,?,?,1 (passengers:0 crew:1),1 (passengers:0 crew:1),0,The mail plane had engine faiure and crashed into a ravine.
ACCIDENT DETAILS,"June 11, 1933",1700,"Glenview, Illinois",42.0778065,-87.8223368,Palwaukee,?,Sightseeing,Sikorsky S-38B (flying boat),NC-141M,?,9 (passengers:7 crew:2),9 (passengers:7 crew:2),0,"After attempting to land in lake Michigan the pilot encounter rough water and aborted the landing. While taking off the right wing separated from the plane due to the previous rough landing,"
ACCIDENT DETAILS,"July 18, 1933",1540,Aegean Sea,39.019184,25.268555,Societa Anonima Aero Expresso Italiana,?,Athens - Rhodes,CMASA Wal (flying boat),I-AZEE,127,6 (passengers:2 crew:4),6 (passengers:2 crew:4),0,The float plane was forced to ditch in gale force winds. No trace of the plane or those onboard were ever found.
ACCIDENT DETAILS,"August 29, 1933",100,"Quay, New Mexico",34.9569924,-103.7289167,Trans Continental and Western Air,?,"Amarillo, TX - Albuquerque, NM",Ford 5-AT-B Tri Motor,NC9607,5-AT-005,5 (passengers:3 crew:2),5 (passengers:3 crew:2),0,Crashed into a mountain slope during a storm while attempting to make an emergency landing.
ACCIDENT DETAILS,"September 12, 1933",?,"Near Ljubljana, Yugoslavia",46.0569465,14.5057515,Aeroput,?,"Ljubjana - Susak, Croatia",Farman F-306,YU-SAH,?,8 (passengers:6 crew:2),8 (passengers:6 crew:2),0,Crashed on the grounds of an insane asylum after losing an engine on takeoff.
ACCIDENT DETAILS,"October 10, 1933",2100,"Chesterton, Indiana",41.6105937,-87.0641992,United Air Lines,?,Newark - Cleveland - Chicago - Oakland,Boeing 247,NC13304,1685,10 (passengers:7 crew:3),10 (passengers:7 crew:3),0,"While en route to Chicago, the aircraft was destroyed by an explosive device placed in the cargo hold, consisting of nitro-glycerin and attached to a timing device. Eyewitnesses on the ground reported hearing an explosion shortly after 9 p.m., and told of seeing the plane in flames at an altitude of about 1,000 feet. A second explosion followed after the plane crashed.This was the first proven case of sabotage in the history of commercial aviation."
ACCIDENT DETAILS,"October 31, 1933",1120,"Etobon, France",47.642833,6.675242,Air France,?,Zurich - Basel - Paris,Farman F-301,F-AJMI,4,5 (passengers:2 crew:3),2 (passengers:1 crew:1),0,?
ACCIDENT DETAILS,"November 09, 1933",2235,"Portland, Oregon",45.515232,-122.6783853,United Air Lines,?,"Seattle, WA - Dallas, TX",Boeing 247,NC13345,1772,10 (passengers:7 crew:3),4 (passengers:3 crew:1),?,Crashed in a thickly wooded area upon taking off after the pilot became lost in fog.
ACCIDENT DETAILS,"November 10, 1933",?,"Moriarty, New Mexico",34.9900503,-106.0491893,Trans Continental and Western Air,?,?,Northrop Delta,NC12292,3,1 (passengers:0 crew:1),0 (passengers:0 crew:0),0,The pilot bailed out after the engine caught fire. He was not injured.
ACCIDENT DETAILS,"November 20, 1933",?,"Near Tsinan, China",36.6518399,117.12009,China National Aviation Corporation,?,Canton - Shanghai,Stinson,?,?,8 (passengers:7 crew:1),8 (passengers:7 crew:1),?,Crashed into the Chingshan mountain range in fog.
ACCIDENT DETAILS,"November 21, 1933",15:00,"Near Kharkov, Ukraine, USSR",50.0020127,36.3073994,Kalinin,?,Test flight,Kalinin K-7,?,?,20 (passengers:0 crew:20),14 (passengers:0 crew:14),0,Crashed due to structural failure during a test flight.
ACCIDENT DETAILS,"November 24, 1933",?,"Wedron, Illinois",41.4361548,-88.7734493,National Air Transport,?,?,Boeing 247,NC13324,1705,2 (passengers:0 crew:2),2 (passengers:0 crew:2),0,Crashed under unknown circumstances.
ACCIDENT DETAILS,"December 11, 1933",1600,"Hamburg, Germany",53.5488282,9.9871703,Deutsche Lufthansa,?,Berlin - Hamburg,Focke-Wulf A-17,D-1403,47,10 (passengers:8 crew:2),6 (passengers:4 crew:2),0,Crashed after striking an obstacle while landing in poor visibility and snow.
ACCIDENT DETAILS,"December 14, 1933",?,"Eshowe, South Africa",-28.8900212,31.4533546,Union Airways,?,?,Junkers W-34,ZS-AEB,2735,6 (passengers:4 crew:2),5 (passengers:3 crew:2),0,Crashed in poor weather conditions while enroute.
ACCIDENT DETAILS,"December 30, 1933",c 13:00,"Near Ruysselede, Belgium",51.0413499,3.3970884,Imperial Airways,?,"Brussels, Belgium - Croydon, England",Avro 10,G-ABLU,528,10 (passengers:8 crew:2),10 (passengers:8 crew:2),0,Crashed into a field in desnse fog after hitting a radio antenna tower which tore off a wing.
ACCIDENT DETAILS,"January 15, 1934",1815,"Corbigny, France",47.257618,3.684328,Air France,?,Saigon - Paris,Dewoitine D-332,F-AMMY,1,14 (passengers:10 crew:4),14 (passengers:10 crew:4),0,"The aircraft crashed while en route in a severe snowstorm. Icing. The aircraft was named ""Emeraude."""
ACCIDENT DETAILS,"January 20, 1934",?,"Carombe, France",44.1118374,5.1069888,Air France,?,?,Breguet 280T,F-AJKX,?,2 (passengers:? crew:?),2 (passengers:? crew:?),0,?
ACCIDENT DETAILS,"February 23, 1934",1415,"Near Salt Lake City, Utah",40.7605601,-111.8881397,Boeing Aircraft Company,?,Salt Lake City - Cheyenne,Boeing 247,NC13357,1739,8 (passengers:5 crew:3),8 (passengers:5 crew:3),0,"Crashed on top of Parley's Canyon, 20 miles from Salt Lake City shortly after taking off for Cheyenne. Pilot error. The crew failed to gain sufficient altitude to clear rapidly rising terrain."
ACCIDENT DETAILS,"February 26, 1934",?,"Rio de Oro, Morocco",31.791702,-7.09262,Air France,?,?,Latécoère 28,F-AJPA,925,6 (passengers:? crew:?),1 (passengers:? crew:?),0,?
ACCIDENT DETAILS,"March 06, 1934",?,"Petersburg, Illinois",40.0117151,-89.8481652,American Airways,?,"St. Louis, MO - Chicago, IL",Fairchild Pilgrim 100A,NC710Y,6606,4 (passengers:3 crew:1),4 (passengers:3 crew:?),0,Crashed into a snow drift due to icing in a blizzard.
ACCIDENT DETAILS,"March 10, 1934",?,"Pereira, Colombia",4.8087174,-75.690601,Pan American Airways (Scadta),?,Quiddo - Cartago,Sikorsky S-38 Flying Boat,NC-9107,?,6 (passengers:4 crew:2),5 (passengers:3 crew:2),0,"Scadta was a Pan Am subsidiary. It was operating a domestic flight, which crashed in the Colombian jungle, which was called ""Green Hell."" Five Goigira Indians, who were canoeing up the Uribe River, found pieces of clothing, and then dead bodies of five people from the crash, and the wreckage of the aircraft. They also found a man who was alive, but dazed, exhausted, half crazy and unable to speak. They carried him for seven days through the jungle to civilization. He later recovered, and his name was Newton C. Marshall, General Manager of South American Gold & Platinum Company. He was the only survivor."
ACCIDENT DETAILS,"March 22, 1934",?,"Near Lima, Peru",-12.0466888,-77.0430886,Pan American Grace Airlines,?,?,Ford 5-AT-C Tri-Motor,NC407H,5-AT-066,15 (passengers:12 crew:3),3 (passengers:0 crew:3),0,Crashed on take off due to engine failure.
ACCIDENT DETAILS,"April 10, 1934",?,"Ningpo Bay, China",29.868336,121.54399,China National Aviation Corporation,?,?,Sikorsky S-38BB,NV17V,?,3 (passengers:1 crew:2),3 (passengers:1 crew:2),0,?
ACCIDENT DETAILS,"May 09, 1934",?,English Channel,50.134664,-0.357056,Air France,?,"Dieppe, France - New Haven, England",Wibault 282T,F-AMHP,8,6 (passengers:3 crew:3),6 (passengers:3 crew:3),0,Crashed into the English Channel and sunk immedately in fog.
ACCIDENT DETAILS,"May 31, 1934",500,"Croydon, England",51.3769529,-0.0956895,Air France,?,"Croydon, England - Paris, France",Liore-et-Olivier 213,F-AIVG,?,2 (passengers:0 crew:2),2 (passengers:0 crew:2),0,The cargo plane struck an aerial mast and crashed into houses while attempting to take off.
ACCIDENT DETAILS,"June 09, 1934",1700,"Mongaup Mountain, New York",41.9909235,-74.6840456,American Airways,?,New York - Chicago,Curtiss Condor T-32,NC12354,22,7 (passengers:4 crew:3),7 (passengers:4 crew:3),0,"Crashed into Last Chance Hill in the Catskill Mountains at an altitude of 2,000 feet in fog and thunderstorms while en route. Pilot deviated from the prescribed course and flew over hazardous terrain."
ACCIDENT DETAILS,"June 11, 1934",1100,"Junin, Argentina",-34.5885499,-60.949554,Panagra,?,Buenos Aires - Santiago,Ford 5-AT-C Tri-Motor,NC8417,5-AT-055,10 (passengers:7 crew:3),6 (passengers:3 crew:3),0,"Crashed into Mar Chiquita Lagoon during a heavy rainstorm. The aircraft was named ""San Pedro."""
ACCIDENT DETAILS,"June 22, 1934",?,"Chausseehausen, Germany",51.165691,10.451526,Deutsche Lufthansa,?,?,Dornier Merkur,D-1445,176,7 (passengers:5 crew:2),1 (passengers:0 crew:1),0,Weather related.
ACCIDENT DETAILS,"June 23, 1934",600,"Burbank, California",34.1820605,-118.3074827,Aerevias Centrales Air Service,?,Mexico - Burbank,Lockheed Orion,XA-BEJ,?,1 (passengers:0 crew:1),1 (passengers:0 crew:1),0,Crashed while en route to pick up passengers. The plane crashed near a fire station in heavy fog and burst into flames killing the pilot.
ACCIDENT DETAILS,"July 09, 1934",?,"San Bernardino, California",34.1045589,-117.291869,United Air Services,?,San Bernardion - Los Angeles,Lockheed Vega,NC32E,33,4 (passengers:3 crew:1),3 (passengers:2 crew:1),0,Failed to gain altitude and struck a grove of trees while attempting to take off. The plane came to rest in a watermelon patch.
ACCIDENT DETAILS,"July 27, 1934",950,"Near Tuttlingen, Germany",47.9823316,8.8192095,Swissair,?,Zurich - Stuttgart - Leipzig - Berlin,Curtiss AT-32C Condor,CH-170,53,12 (passengers:9 crew:3),12 (passengers:9 crew:3),0,"The aircraft crashed during a violent storm near the Swiss - Germany border. The plane fell from a height of 3,000 feet, bursting into flames. Failure of the right wing caused by fractures in the structure which occurred because of oscillations in the wing."
ACCIDENT DETAILS,"August 05, 1934",?,"Bahia, Brazil",-11.4098737,-41.2808577,Air France,?,?,Latecoere 26,F-AILK,662,2 (passengers:0 crew:2),2 (passengers:0 crew:2),0,The crew lost control of the aircraft and crashed while taking off from Bahia while on a mail flight.
ACCIDENT DETAILS,"August 10, 1934",?,"Ningbo, China",29.868336,121.54399,China National Aviation Corporation,?,?,Sikorsky S-38B,?,?,? (passengers:? crew:?),? (passengers:? crew:?),?,?
ACCIDENT DETAILS,"August 31, 1934",2245,"Amazonia, Missouri",39.8861052,-94.891913,Rapid Air Transport,6,Kansas City - Saint Joseph - Omaha,Stinson SM-6000B,NC11118,5004,5 (passengers:4 crew:1),5 (passengers:4 crew:1),0,The plane crashed about 11 miles from St. Joseph in heavy fog. Pilot error in taking off in dangerous weather conditions and turning too close the the ground in a fog-bound area. Inaccurate weather conditions reported to the pilot.
ACCIDENT DETAILS,"October 02, 1934",1050,English Channel,50.134664,-0.357056,Hillman's Airways,?,Croydon - Paris,de havilland 89 Dragon Rapide,G-ACPM,?,7 (passengers:6 crew:1),7 (passengers:6 crew:1),0,"While overflying The Channel, the pilot encountered poor weather conditions with light rain and fog. He decided to return but due to low visibility and while cruising VFR, he was unable to distinguish the water surface and eventually lost control of the aircraft that crashed into the sea some five km off Folkestone. The pilot""s lack of skill and knowledge in matters of navigation ."
ACCIDENT DETAILS,"October 03, 1934",?,"Near Winton, Australia",-22.3905542,143.0412041,Qantas,?,?,de Havilland DH-50A,VH-UHE,4,3 (passengers:2 crew:1),3 (passengers:2 crew:1),0,"Crashed after in-flight loss of control, possibly stalled at low altitude in dusty low-visibility conditions."
ACCIDENT DETAILS,"October 19, 1934",?,"Bass Strait, Australia",-38.3882707,142.2507019,Holymans Airways,?,"Launceston, Tasmania - Melbourne, Australia",de Havilland DH-86,VH-URN,2301,11 (passengers:9 crew:2),11 (passengers:9 crew:2),0,Crashed 10 miles off the coast under unknown circumstances
ACCIDENT DETAILS,"November 02, 1934",?,"Kiapit, Australia",-25.274398,133.775136,Holdens Air Transport Service,?,Rabaul - Kaiapit,De Havilland DH-61,VH-UHW,330,4 (passengers:2 crew:2),2 (passengers:2 crew:0),0,"On final approach to Kaiapit, the aircraft was too low and hit a house short of runway and caught fir. The aircraft was named ""Canberra."""
ACCIDENT DETAILS,"November 15, 1934",2342,"Amazonia, Montana",46.320207,-112.1072224,Rapid Air Transport,?,Omaha - Kansas City,Stinson SM-6000-B,NC10809,5031,2 (passengers:0 crew:2),2 (passengers:0 crew:2),0,"While flying at night in marginal weather conditions, the pilot flew too close to the ground hit trees and crashed in flames in a wooded area. The pilot committed an error in judgment in turning too close to the ground in a fog bound area."
ACCIDENT DETAILS,"November 15, 1934",?,"Near Longreach, Australia",-23.4403125,144.2506199,Qantas,?,London - Sydney,de Havilland DH-86,VH-USG,2311,4 (passengers:3 crew:1),4 (passengers:3 crew:1),0,The aircraft suddenly went out of control and crashed to the ground on its delivery flight from England to Brisbane. Improper loading of parts resulting in an aft center of gravity.
ACCIDENT DETAILS,"December 07, 1934",?,"Salchau, Germany",51.165691,10.451526,Deutsche Lufthansa,?,Berlin - Hanover,Junkers F-13,D-OMAS,2008,3 (passengers:0 crew:3),3 (passengers:0 crew:3),0,Crashed under unknown circumstances
ACCIDENT DETAILS,"December 08, 1934",530,"Columbia, Missouri",38.951768,-92.3282932,Braniff Airlines,?,"Kansas City, MO - Chicago, IL",Lockheed Vega 5C,NC106W,123,1 (passengers:0 crew:1),1 (passengers:0 crew:1),0,The mail plane crashed to the ground from a low altitude. Icing.
ACCIDENT DETAILS,"December 10, 1934",730,"Palma Soriano, Cuba",20.2218201,-75.9869609,Cubana de Aviacion,?,Havana - Santiago de Cuba,Ford 4-AT-E Tri-motor,NM-7,4-AT-63,8 (passengers:5 crew:3),4 (passengers:2 crew:2),0,Crashed into a mountain in poor weater condtions and low visiblity while en route.
ACCIDENT DETAILS,"December 20, 1934",333,"Rutbah Wells, Syria",34.802075,38.996815,KLM Royal Dutch Airlines,?,"Amsterdam - Batavia, Java",Douglas DC-2-115A,PH-AJU,1317,7 (passengers:3 crew:4),7 (passengers:3 crew:4),0,"While flying over the Iraqi Desert at night, the crew encountered poor weather conditions and decided to divert to Rutbah Wells. On approach, the aircraft impacted the ground and exploded.16 km from Rutbah Wells airfield. The aircraft was named ""Uiver"" (Dutch word for stork)."
ACCIDENT DETAILS,"December 22, 1934",252,"Sunbright, Tennessee",36.2431964,-84.6715407,American Airlines,?,"Louisville, KY - Nashville, TN",Lockheed Orion 9D,NC12286,198,1 (passengers:0 crew:1),1 (passengers:0 crew:1),0,"Crashed into Big Pilot mountain, 50 feet from the top of the summit, four miles from Sunbright, in poor visibility. The battery-generator system failed, thus causing an error in the ship's compass and probably affecting other essential navigation instruments."
ACCIDENT DETAILS,"December 31, 1934",?,?,,,Aeroflot,?,?,Tupolev ANT-9,?,?,10 (passengers:8 crew:2),10 (passengers:8 crew:2),0,Crashed under unknown circumstances.
ACCIDENT DETAILS,"January 08, 1935",?,"Near Karachi, Pakistan",24.8607343,67.0011364,Indian Air Force,?,Training,Wapiti,?,?,2 (passengers:0 crew:2),0 (passengers:0 crew:2),15,Crashed into a column of soldiers during training. The crew survived with injuries but 15 soldiers were killed and 11 injured. Later the pilot was court-martialled and dismissed.
ACCIDENT DETAILS,"January 26, 1935",?,"Pittsburgh, Pennsylvania",40.4386612,-79.9972352,Trans Continental and Western Air,?,"Newark, NJ - Columbus, OH",Consolidated Fleetster,NC13212,?,1 (passengers:0 crew:1),1 (passengers:0 crew:1),0,The mail plane crashed and burned soon after taking off in a blinding snowstorm.
ACCIDENT DETAILS,"January 31, 1935",1900,"Stettin, Germany",48.2785038,9.9044936,Deruluft,?,Koenigberg - Berlin,Junkers JU-52/3m,D-AREN,4051,11 (passengers:8 crew:3),11 (passengers:8 crew:3),0,"Crashed full speed into a hill, 450 feet high in rain and fog. Icing."
ACCIDENT DETAILS,"February 12, 1935",?,"Off Point Sur, Californiia",36.778261,-119.4179324,Military - US Navy,?,?,Goodyear-Zeppelin U.S.S. Macon (airship),ZRS-4,?,83 (passengers:0 crew:83),2 (passengers:0 crew:2),0,The airship suffered structural failure in a storm. The airship descended slowly and most of the crew were able to escape. This accident ended the US Navy's airship program.
ACCIDENT DETAILS,"March 07, 1935",?,"Schievelbein, Germany",51.165691,10.451526,Deruluft,?,?,Rochrbach Roland,D-AJYP,45,3 (passengers:0 crew:3),0 (passengers:0 crew:0),0,Fuselage failure forced an emergency landing in a field.
ACCIDENT DETAILS,"March 15, 1935",?,"El Arish, Egypt",31.132093,33.8032762,Misrair,?,Jerusalem - Cairo,de Havilland Dragon 1,SU-ABI,6031,6 (passengers:5 crew:1),3 (passengers:2 crew:1),0,"After flying over the airport into a strong headwind, in an attempt to land, one of the aircraft's two engines failed. While attempting to return to the airport the pilot headed into the strong wind and lost airspeed until he stalled and crashed from a height of 100 - 130 feet."
ACCIDENT DETAILS,"March 29, 1935",?,"Off Samland, Germany",51.165691,10.451526,Deutsche Lufthansa,?,Training,Junkers F-13,D-OHIL,?,5 (passengers:0 crew:5),5 (passengers:0 crew:5),0,"The crew,(3 student pilots and 2 instructors were performing a training flight over Baltic Sea when the aircraft crashed into the sea for reasons unknown."
ACCIDENT DETAILS,"April 01, 1935",45,"Beauvais, France",49.4295387,2.0807123,Air France,?,?,Farman F-300,F-ALHQ,7243-2,3 (passengers:0 crew:3),1 (passengers:0 crew:1),0,"Shortly after departure, the captain decided to return to Paris because of low visibility. The aircraft hit a tree and crashed in an open field. The chief pilot of Air France, Robert Bajac, 36, was killed. Blame was placed on the aircraft which was found to be unstable in flight."
ACCIDENT DETAILS,"April 06, 1935",1518,"Brilon, Germany",51.3986735,8.5685005,KLM Royal Dutch Airlines,?,Prague Leipzig Essen Amsterdam Rotterdam,Fokker F-12,PH-AFL,5242,7 (passengers:2 crew:5),7 (passengers:2 crew:5),0,"Crashed after the pilot tried to maintain visual contact with the ground in heavy fog and snow. The plane was named ""Leeuwerik."" The pilot was unable to distinguish the ground from the surroundings and to establish his real position to continue then flight in a safely manner."
ACCIDENT DETAILS,"May 01, 1935",1045,"Near Walsenberg, Colorado",37.6227357,-104.780403,Varney Air Lines,?,Pueblo - El Paso,Lockheed Vega,NC891E,73,1 (passengers:0 crew:1),1 (passengers:0 crew:1),0,"Crashed at Rattlesnake Butte after the plane lost engine power. James Montijo, 40, the man who taught Amelia Earhart to fly, killed. The accidental collision with the ground while doing low flying in violation of the Air Commerce Regulations."
ACCIDENT DETAILS,"May 06, 1935",330,"Atlanta, Missouri",39.898646,-92.4810208,Trans Continental and Western Air,6,Los Angeles - Albuquerque - Kanasas City - Washington,Douglas DC-2-112,NC13785,1295,14 (passengers:12 crew:2),5 (passengers:3 crew:2),0,"The plane crashed while en route from Albuquerque to Kansas City. After encountering fog and poor visibility, the plane was diverted to Kirksville where witnesses reported the low flying aircraft made contact with the ground and crashed. Whether the plane struck the ground while the pilot was attempting to make an emergency landing or because the available fuel supply had been exhausted, or for other reasons, could not be determined. New Mexico Senator Bronson M. Cutting, 46, killed. Improper clearance of the airplane from Albuquerque by the company's ground personnel when the plane's two-way radio was not functioning properly."
ACCIDENT DETAILS,"May 18, 1935",45,"Near Moscow, Russia",55.7568721,37.6150527,Gor'ky Eskadril'ya,?,Demonstration,Tupolev ANT-20 / I-5,CCCP-I20,?,50 (passengers:37 crew:13),50 (passengers:37 crew:13),2,"Midair collision with an I-5 fighter at 2,300 ft. The fighter was performing aerobatics trying to loop around the Tupolev. The plane crashed into a residental neighborhood and was on its maiden flight. The plane was nicknamed ""Maxim Gorky."" Pilot error. Forty-nine killed on the Tupolev, one on the I-5"
ACCIDENT DETAILS,"May 18, 1935",1835,"Flint, Michigan",43.0125274,-83.6874562,Knowles Flying Service of Detroit,?,Sightseeing,Ford model 4-AT-E,WC-7864,4-AT-49,12 (passengers:11 crew:1),3 (passengers:2 crew:1),0,"While on a sightseeing trip, the plane ran out of fuel and crashed. Carelessness and negligence on the part of the pilot for not replenishing his fuel supply before it got dangerously low and poor judgment on his part for attempting to return to the airport when there was open terrain ahead of him. Many passengers did not use their seatbelts nor were they instructed in their use."
ACCIDENT DETAILS,"May 27, 1935",1600,"Glendo, Wyoming",42.5027467,-105.0260832,Wyoming Air Service,?,Billings - Sheridan - Casper - Cheyenne,Boeing 221,NC725W,1153,1 (passengers:0 crew:1),1 (passengers:0 crew:1),0,"While flying in poor weather conditions, the pilot decided to reduce his altitude to maintain a visual contact with the ground and crashed into a hill. The accidental collision with the ground while flying low due to severe local weather conditions."
ACCIDENT DETAILS,"May 28, 1935",2225,"Maywood, Illinois",41.8791979,-87.8431155,Chicago and Southern Airlines,?,Chicago - St. Louis,Stinson SM6000B Tri-motor,NC10894,5050,2 (passengers:1 crew:1),2 (passengers:1 crew:1),0,"Crashed into the ground on a farm after the pilot made an abrupt turn to avoid trees, striking the wing on the ground. The unintentional collision with the ground while flying at too low altitude at night."
ACCIDENT DETAILS,"May 29, 1935",?,"San Barbra, Honduras",14.9219177,-88.2375991,?,?,?,?,?,?,9 (passengers:? crew:?),6 (passengers:? crew:?),0,Crashed into the Ulua River.
ACCIDENT DETAILS,"June 24, 1935",1436,"Medellin, Colombia",6.2476376,-75.5658153,Servicio Aereo Columbiano / SCADTA,?,Medellin - Bogotá,Ford Tri-Motor / Ford Tri-Motor,C-31 / F-31,5-AT-112/5-AT-006,20 (passengers:18 crew:2),17 (passengers:15 crew:2),0,"A collision occurred between the two Ford Tri-Motors as one was barely off the ground and one was still on the ground at Olaya Herrera Airfield. The accident was officially attributed to wind sheer or the one aircraft being blown into the other aircraft as it took off. Rivalry among the two pilots may have played a part in the accident as one pilot had buzzed the other four days before the accident.. Actor, singer, Carlos Gardel, 44, and his lyricist Alfredo Le Pera, 35, among those killed."
ACCIDENT DETAILS,"July 14, 1935",940,"Amsterdam, Netherlands",52.3675734,4.9041389,KLM Royal Dutch Airlines,?,Amsterdam - Sweden,Fokker F-XXII,PH-AJQ,5358,20 (passengers:15 crew:5),6 (passengers:2 crew:4),0,The plane lost altitude while attempting an emergency landing after taking off and losing two engines. The wing hit a dyke and the plane burst into flames.
ACCIDENT DETAILS,"July 19, 1935",1420,"Off Chandeleur Island, Mississippi",32.3546679,-89.3985283,Wedell-Williams Air Service Corporation,?,"New Orleans, LA - Mobile, AL",General 102-E,NC-492K,?,2 (passengers:1 crew:1),2 (passengers:1 crew:1),0,The plane deviated from its course and flew 20 miles off shore and crashed. Cause unknown.
ACCIDENT DETAILS,"July 20, 1935",1230,"Pian Giacomo, Switzerland",46.413705,9.2236576,KLM Royal Dutch Airlines,?,Milan - Frankfort - Amsterdam,Douglas DC-2,PH-AKG,1335,13 (passengers:9 crew:4),13 (passengers:9 crew:4),0,"Crashed into a mountain near St. Bernard Pass in Switzerland. Mountains obscured by clouds. The crew flew through the wrong valley which ended in a dead end. Icing condtions,."
ACCIDENT DETAILS,"July 23, 1935",?,"Cardiff, United Kingdom",51.483707,-3.1680962,Jersey Airways,?,Cardiff - Saint-Helier,de Havilland DH-84 Dragon,G-ACMP,6063,8 (passengers:7 crew:1),1 (passengers:3 crew:0),0,"Shortly after taking from Cardiff Airport, and climbing, the twin engine aircraft stalled and crashed in a field. The plane was named ""Saint Clements Bay ."""
ACCIDENT DETAILS,"July 28, 1935",?,"El Retiro, Colombia",6.060955,-75.502582,Fuerza Aerea Colombiana,?,Palanquero - Tres Esquinas,Junkers W-34,406,2779,5 (passengers:3 crew:2),5 (passengers:3 crew:2),0,"While en route,, the crew encountered engine trouble, lost control of the aircraft and crashed near the Rio Magdalena."
ACCIDENT DETAILS,"August 07, 1935",800,"Cairo, Egypt",30.0444196,31.2357116,Ala Littoria,?,Guidonia - Cairo - Massawa - Asmara,Savoia-Marchetti S-66,I-REDI,15004,7 (passengers:3 crew:4),7 (passengers:3 crew:4),0,"Ten minutes after taking off an explosion occurred aboard and the aircraft crashed in the dessert, 8 km south of the airport. The cause of the explosion was undetermined."
ACCIDENT DETAILS,"August 13, 1935",?,"Hangow, China",26.083561,113.47923,China National Aviation Corporation,?,?,Sikorsky S-38B,NV40V,?,? (passengers:? crew:?),? (passengers:? crew:?),?,Destoryed in a storm.
ACCIDENT DETAILS,"August 14, 1935",2345,"Near Gilmer, Texas",32.7287472,-94.9424379,Delta Air Lines,4,Dallas - Atlanta,Stinson Model A,NC14599,9103,4 (passengers:3 crew:1),4 (passengers:3 crew:1),0,Crashed 3 miles south of Gilmer. The outboard engine separated from the aircraft after a propeller blade broke off resulting in an imbalanced condition which led to loss of control of the aircraft.
ACCIDENT DETAILS,"August 15, 1935",2018,"Walakpa, near Point Barrow, Alaska",71.3875,-156.4811111,Private,?,?,Lockheed Orion 9E Explorer float plane,NR12283,195,2 (passengers:1 crew:1),2 (passengers:1 crew:1),0,"Dense fog caused the pilot to make a forced landing about 15 miles south of Point Barrow. After some mechanical repairs, the plane took off, rose to about 50 feet and then crashed into shallow water. Loss of control of the aircraft at a low altitude after sudden engine failure due to the extreme nose-heaviness of the aircraft. Adventurer, Wiley Post, 37, and humorist, Will Rogers, 56, killed. Most experts believe that a combination of miscalculations in the design and operation of the heavily customized aircraft resulted in the uncontrollable spin that occurred right after takeoff."
ACCIDENT DETAILS,"August 15, 1935",2008,"Near Glendo, Wyoming",42.5027467,-105.0260832,Aero Mayflower Transit Co,?,Helena - Denver,"Waco, model YLC",NC14140,4202,3 (passengers:2 crew:1),3 (passengers:2 crew:1),0,"The plane flew into a mountain 43 miles West of Glendo in heavy fog. Against advice to the contrary, the pilot decided to fly a direct route to Denver rather than go around, following the valleys and airways used by other pilots. The direct route took him across some of the most dangerous flying country in the west."
ACCIDENT DETAILS,"September 01, 1935",2300,"Burbank, California",34.1820605,-118.3074827,Western Air Express,?,"Burbank, CA - Salt Lake City, UT",Boeing 247,NC13314,1695,3 (passengers:0 crew:3),3 (passengers:0 crew:3),0,"A few minutes after take off from Burbank Airport, while climbing to a height of 1,000 feet in foggy conditions, the aircraft went out of control, stalled, hit power lines and crashed in flames in a field."
ACCIDENT DETAILS,"September 13, 1935",900,"Near Tambo, Panama",8.537981,-80.782127,Panama Airways,?,Panama City - David,Ford Tri-Motor,?,?,8 (passengers:7 crew:1),8 (passengers:7 crew:1),0,Crashed and burned in mountainous terrain in adverse weather conditions.
